Date,AEX_Close,BEL20_Close,CAC40_Close,DAX_Close
"Nov 7, 2011",299.75,2080.86,3103.60,5928.68
"Nov 8, 2011",303.98,2102.40,3143.30,5961.44
"Nov 9, 2011",294.40,2077.15,3075.16,5829.54
"Nov 10, 2011",294.32,2063.91,3064.84,5867.81
"Nov 11, 2011",300.98,2122.38,3149.38,6057.03
"Nov 14, 2011",296.90,2089.04,3108.95,5985.02
"Nov 15, 2011",292.93,2067.88,3049.13,5933.14
"Nov 16, 2011",294.47,2062.48,3064.90,5913.36
"Nov 17, 2011",290.21,2040.01,3010.29,5850.17
"Nov 18, 2011",288.01,2016.76,2997.01,5800.24
"Nov 21, 2011",278.84,1953.98,2894.94,5606.00
"Nov 22, 2011",276.91,1946.26,2870.68,5537.39
"Nov 23, 2011",272.79,1923.32,2822.43,5457.77
"Nov 24, 2011",271.61,1916.26,2822.25,5428.11
"Nov 25, 2011",274.37,1920.91,2856.97,5492.87
"Nov 28, 2011",285.07,2008.90,3012.93,5745.33
"Nov 29, 2011",287.55,2007.23,3026.76,5799.91
"Nov 30, 2011",299.68,2073.95,3154.62,6088.84
"Dec 1, 2011",296.97,2052.58,3129.95,6035.88
"Dec 2, 2011",300.77,2077.15,3164.95,6080.68
"Dec 5, 2011",305.10,2117.39,3201.28,6106.09
"Dec 6, 2011",304.80,2086.05,3179.63,6028.82
"Dec 7, 2011",304.31,2084.68,3175.98,5994.73
"Dec 8, 2011",299.79,2044.20,3095.49,5874.44
"Dec 9, 2011",304.58,2078.46,3172.35,5986.71
"Dec 12, 2011",297.39,2030.47,3089.59,5785.43
"Dec 13, 2011",298.56,2032.20,3078.72,5774.26
"Dec 14, 2011",292.15,1986.88,2976.17,5675.14
"Dec 15, 2011",294.62,2001.53,2998.73,5730.62
"Dec 16, 2011",294.03,2003.57,2972.30,5701.78
"Dec 19, 2011",293.90,2000.00,2974.20,5670.71
"Dec 20, 2011",301.79,2050.12,3055.39,5847.03
"Dec 21, 2011",300.80,2026.32,3030.47,5791.53
"Dec 22, 2011",305.18,2040.29,3071.80,5852.18
"Dec 23, 2011",307.79,2054.45,3102.09,5878.93
"Dec 27, 2011",309.37,2054.23,3103.11,5889.76
"Dec 28, 2011",306.76,2043.59,3071.08,5771.27
"Dec 29, 2011",310.76,2067.09,3127.56,5848.78
"Dec 30, 2011",312.47,2083.42,3159.81,5898.35
